STT,Name,Total_GRDP_BVnd,Rate,People
1,Thành phố Hồ Chí Minh,1778000,7.17,10000000
2,Hà Nội,1430000,6.52,8500000
3,Bình Dương,520205,7.78,2600000
4,Đồng Nai,493819,8.02,3100000
5,Hải Phòng,445995,11.01,2200000
6,Bà Rịa – Vũng Tàu,417306,11.72,1200000
7,Quảng Ninh,347500,8.42,1400000
8,Thanh Hóa,318752,12.16,3700000
9,Bắc Ninh,232000,6.03,1400000
10,Nghệ An,216943,8.01,3300000
11,Hải Dương,212386,10.2,1900000
12,Bắc Giang,207000,13.85,1900000
13,Long An,188588,7.52,1700000
14,Vĩnh Phúc,173140,8.3,1200000
15,Thái Nguyên,166870,6.22,1300000
16,Hưng Yên,159844,7.7,1300000
17,Đà Nẵng,151307,7.51,1200000
18,Kiên Giang,144000,7.5,1700000
19,Đắk Lắk,141362,5.71,1900000
20,Tiền Giang,137272,7.02,1800000
21,Lâm Đồng,134289,4.02,1300000
22,TP. Cần Thơ,133064,7.12,1300000
23,Quảng Ngãi,132653,4.07,1200000
24,Bình Định,130799,7.78,1500000
25,Quảng Nam,129000,7.1,1500000
26,Khánh Hòa,128760,10.16,1300000
27,An Giang,126771,7.16,1900000
28,Đồng Tháp,124127,6.44,1600000
29,Tây Ninh,123878,7.5,1200000
30,Bình Thuận,121000,7.25,1300000
31,Bình Phước,115357,9.32,1000000
32,Nam Định,113329,10.01,1900000
33,Hà Tĩnh,112855,7.48,1300000
34,Gia Lai,111208,3.28,1500000
35,Phú Thọ,107300,9.53,1400000
36,Ninh Bình,98900,8.56,900000
37,Trà Vinh,96623,10.04,1000000
38,Cà Mau,87535,7.09,1200000
39,Vĩnh Long,83668,6.5,1100000
40,Sóc Trăng,80147,7.07,1300000
41,Huế,80000,8.15,1200000
42,Lào Cai,77223,7.38,800000
43,Sơn La,76626,7.5,1200000
44,Bến Tre,74178,5.68,1300000
45,Hoà Bình,72180,8.96,900000
46,Thái Bình,71326,7.01,1800000
47,Hậu Giang,68463,8.76,800000
48,Bạc Liêu,65625,6.62,1000000
49,Phú Yên,62597,5.90,900000
50,Quảng Bình,60179,7.18,900000
51,Ninh Thuận,60161,8.74,600000
52,Hà Nam,56116,10.93,900000
53,Đắk Nông,55700,4.87,700000
54,Quảng Trị,53508,5.97,600000
55,Tuyên Quang,50424,9.02,800000
56,Lạng Sơn,49736,6.01,800000
57,Yên Bái,48662,7.91,700000
58,Kon Tum,40946,8.02,500000
59,Hà Giang,35822,6.05,900000
60,Điện Biên,31663,8.51,600000
61,Lai Châu,31024,10.52,500000
62,Cao Bằng,25204,6.74,500000
63,Bắc Kạn,18744,7.4,300000
